EMIL,To Emulate, Copy
CARALEE,From CARA and LEE
FELICIA,Happiness
ELLEMA,Milking a Cow (Af)
KIERAN,Little Dark One
CHAYLSE,Seaport
CONSTANCE,To Be Knowledgable
NEVA,Snow
JOYCE,Merry
SIMA,Treasure, Prize
ZADA,Good Fortune (Arm)
FOY,A Journey
FREMONT,Freedom Mountain
GIL,Short for names beginning with GIL
BLUM,Flower
ALETHEA,Truthful One
MORTY,From the name MORTIMER
EDALENE,Noble, King
DMITRI,From the name DEMITRIUS
ABU,Father (Af)
MAKYA,One who Hunts Eagles (Nat.Am)
CLARISSA,Brilliant
ADLAI,My Witness
TRULA,True
DARLA,Dear, Loved One
CHRIS,From the name CHRISTOPHER
ANGELA,Angelic (It)
GAMAL,Camel
KEEGAN,Son of Eagan, Fiery
DUNNE,From the name DUNN
ASTRA,Star
TERRY,From the name TERENCE
KIRA,Sun
DERRY,From DERICA
ALLISON,From the name ALISON
REVELIN,Form of ROLAND (Ir)
PERRIN,From the name PERRY
EVONNE,From the name EVE AND ANNA
CONOR,From the name CONNOR
QUIN,Quintuplet
RONAT,Seal
GWYN,White, fair (Wl)
VINCENT,Conqueror, Victor
DARA,Compassion
STEPHENIE,From the name STEVEN
CHYNA,From the name CHINA
YERED,To come Down (Hb)
EMANUELE,God in Humankind
D'LORAH,Harold backwards
LEVIA,Combine Forces (Hb)
LEAH,Female Ruler
DUGAN,Dark-Colored
BELLE,Beauty
NEVADA,Covered in Snow
CREOLA,Native to the Land, Creole
CHUMANI,Dew Drop (Nat.Am)
AMIEL,God of my People (Hb)
JEFF,From the name JEFFREY
ZOE,Life
LUCY,From the name LUCILLE OR LUCUS
SYLVAIN,Of the Forest
DANTON,From the name DANTE
HARLAN,From the Army
TOM,From the name THOMAS
ANATOLA,From the East (Gk)
JONATHAN,From the name JOHN
JUNE,From June
CYD,A Public Hill
KENZIE,Light Skinned
YOGI,Of the Yoga Practice
QUENTIN,The Fifth
CRAIG,From the Crag
OLESIA,Protector of Humanity (Po)
KAYO,From Initials K.O.
MOSTYN,Fortress in a Field (Wl)
LARS,From the name LAWRENCE (Nd)
JOSEF,God will Increase
OVA,Egg
RAEGAN,Wise
GENNA,From the name GENEVA
TORY,From TORRANCE or VICTORIA
DULCINEA,Sweet
HANNA,Goddess of Life
DOANE,Dune Dweller
YAIR,God Will Teach (Hb)
ETHAN,Firm, Strong
TERRAN,Earth
DEJAH,Before
RIMONA,Pomegranate
ASNEE,Lightning
WARNER,From the name WARREN
PARKER,Keeper of the Park
KATE,From the name CATHERINE
JOB,Afflicted One
JEROMMEKE,Holy Man
BRAEDEN,From the Dark Valley
NORMA,Pattern, Rule
ANYA,From the name ANNA (Rs)
BENJAMIN,Son of My Right Hand
SABINA,From the name SABINE
BRITA,From the name BRITTANIA
LOLA,Form of CARLOTA (Sp)
GERALDO,From the name GERALD (Sp)
LYNDEL,Pretty
CAL,Short for names beginning with CAL
CAEL,Victorious People
BERYL,Dazzling Jewel
MAURA,Dark
MEDARD,A Meadow
MARIUS,Sailor, Roman Clan Name
QUINTIN,From the name QUENTIN
FREDERICK,Peace
SPERANZA,Hope (It)
DAVINA,Beloved
ADERES,Clothes Worn on Outside
BEULAH,Married
JABILO,Medicine Man (Af)
HAWA,Lazy
KADEEM,Servant (Ar)
VICTORIA,Victorious
ELJAH,Form of ELIJAH
VERDA,Truth (Sp)
AMIRI,Prince (Af)
CAROLENA,Little and Womanly
NEOLA,New
JAEL,Prominent
MARLO,From the name MARILYN
ZENON,Stranger
ZED,From ZEDEKIAH
GAMADA,Glad, Pleased (Af)
SHERRIE,Beloved, Dearest
KIORA,Love
HELLER,The Sun
EGAN,Little Fire
VITO,Life (It)
CAIN,Spear
BJORN,Bear
TYREE,Island off of Scotland
NORTON,From the North
BECKA,From the name REBECCA
MANON,Heroine in French Novel (Fr)
GUIDO,Life (It)
MERLIN,By the Sea
AMAYA,Night Rain
JAN,From the name JANET
MAVIS,The Thrush
ABRIL,April (Lt)
ORVILLE,Golden City
JENS,God is Gracious
LANAI,Terrace, Veranda
HARVA,Fem. form of HARVEY
TONY,Worthy of Praise
HECTOR,Anchor, steadfast
JENNIFER,White Wave
DUSTY,From the name DUSTIN
TA'IB,Good
SUKEY,From the name SUSAN
ADRIENNE,(F)Dark, Rich
GANYA,Garden of the Lord
ASTRID,Divine Strength
DORCAS,A Gazelle
MAIK,Now (HI)
AXEL,Source of all Life (Gr)
DELILAH,Hair or Poor
DELIZ,From DEAN and LIZ
BART,From the name BARTHOLEMEW
PASCALE,Passover/Easter
LONNIT,Imposter
SANDRA,From the name ALEXANDER
SHAMIRA,Precious Stone
PENNY,From the name PENELOPE
LILY,From the name LILLIAN
AFRA,Female Deer
BRYANT,Strong, Honorable
NONA,The Ninth
MAXIMILIAN,Great
ARMANDO,From the name ARMAND (It/Sp)
SULIS,Goddess who Watched OVer Bath
CORNELIA,From the name CORNELIUS
BIANCA,From the name BLANCHE
RENE,Reborn
CAIMILE,A Family is Born (Af)
NOLAN,Famous
OSIAS,Salvation
KIKI,Short for names beginning with K
AMARYLLIS,Species of Flowers
SINCLAIR,A Clear Sign
LIVI,From the name OLIVIA
BRUCE,Woods
TOVI,Beloved
YARO,Son (Af)
LYNDE,From the name LYNDON
KENNAN,Form of KEENE
JEROD,Descendant
BOB,From the name ROBERT
CARSYN,Son of Carr
URSALA,Female Bear
JONAH,A Dove
AH CY,Lovely (Ch)
YITRO,Plenty (Hb)
JETHRO,Outstanding, Excellent
HART,Deer or Stag
TEMIMA,Whole, Honest
VERN,Youthful
MARIS,Of the Sea
ELDON,Of Old Age
WYMAN,Warrior
LIV,From the name OLIVIA
JEWEL,Joy
CIRA,Sun (It)
KAELIN,Rejoicer, Waterfall Pool
ARMANDE,From the name ARMAND (Fr)
SATINKA,Sacred Dancer
DEWEY,From the name DAVID (Wl)
BRIGHTON,A Brit
GEORGE,A Tiller of the Soil (Farmer)
CORNELIUS,Horn-Colored
KASPAR,From the name CASPER (Gr)
NADINE,Hope
LEVANA,Uplift
MAURICE,Moor, Dark Skinned
DYLAN,From the name DILLON
MATRIKA,Mother
KITTY,Little Cat, or See CATHERINE
OTTO,From the name OTHELLO
SHERRI,Beloved
SYSHE,Street (Hb)
ZEB,God's Gift
STAN,From the name STANLEY
ABNER,Father of Light
JENSEN,God is Gracious
TERRENCE,From the name TERENCE
JUDAH,Praised
DONAL,World Mighty
DION,From the name DIONYSIUS
LOUISA,Feminine form of LOUIS
LARISSA,Cheerful
MARTIN,Warlike
LESLEY,From the name LESLIE
VANDALIN,Wanderer
NOVIA,New
DORI,From the name DORE
KENDRA,Water Baby, Magical
NYAKO,Girl (Af)
OPAL,From the Opal Gemstone
DARIA,Queenly
GUENEVERE,Fair One
AKUJI,Dead and Awake (Af)
WHITFIELD,From the Small Field
MITCH,From the name MICHAEL
MAREE,From MARY or MARIE
REGINALD,King
LELIA,Fair Speech (Gk)
LEROY,The King
WOODROW,The Path thru the Woods
NAAL,Birth (Ir)
GAIUS,Rejoicer
QUINLAN,Very Strong
DESANA,Longed For
KIM,From the name KIMBERLY
NICK,From the name NICHOLAS
LINDSEY,Linden Trees Near the Water
NEN,Ancient Waters (Bt)
LEL,Taker
OLIVER,Olive Tree
SEVERINO,Severe
JEMIMA,A Dove
YASIN,Prophet, Happiness
CHEYENNE,People of Alien Speech (Nat.Am)
BINA,Freshness (Af)
BLINDA,From the name BELINDA
MIRIAM,Mistress of the Sea
POLLY,Pet form of Molly
EDDA,With Clear Goals
SHOSHANA,Lily
LIZ,From the name ELIZABETH
ISABEL,Consecrated to God
ANNICK,Gracious
JUANITA,From the name JOANNE (Sp)
NINA,Ninth
ELLIOT,From the name ELIJAH
MARGO,Pearl (Fr)
ETHEL,Noble
AXELLE,Father of Peace (Fr)
PALTI,My Escape, Deliverance
IRAM,Shining
JAMILA,Beautiful
NERINE,Sea Nymph
ROSEMARY,Bitter Rose
SANDY,From the name ALEXANDER
VONDILA,Lost a Child (Af)
ABEL,A Breath
CHIPO,A Gift (Af)
ERYK,Ever Powerful (Po)
KEVIN,Handsome, Beautiful
CAROLINE,From the name CAROL AND LINDA
NIRA,National Ind. Recovery Act
HADLEY,Heath Near the Wasteland
TANESIA,Born on Monday
MICHAEL,Who is like God?
CHERRY,From the name CHERYL
MOANA,Ocean
GEOFFREY,From the name JEFFREY
DELANEY,Descendant of the Challenger
UJANA,Youth (Af)
NATHAN,He Gave
RUSTI,Red Head
LOURDES,Section of France where Virgin Mary was seen
BRYNN,Small Hill
GALLIA,Wherewithal (gall) (Fr)
GILLIAN,From the name JILL
HELENE,From the name HELEN
CELIA,Blind
IGGI,Only Son (Af)
BRITTANY,From the name BRITTANIA
RHEA,Rivers
EMMLY,Flatterer
MILLER,Mill Worker
ZAN,Well Fed (Hb)
TASIDA,Horse Rider
DARAY,Dark
CATHERINE,Pure, Virginal
MIROSLAV,Peace Celebration
MARIJKE,Bitter
CALVIN,Bald
GABRIELA,From the name GABRIEL
LUDLOW,Mountain of the Chief
SYBIL,Form of Isabel
DAVIN,Finnish
DESIDERIO,Desire (Sp)
PAXTON,Town of Peace
KAMELLA,Young Ceremonial Attendant
DIANTHA,Divine Flower (Gk)
SHERIDAN,Wild
IZELLAH,Little Princess
JUDE,From the name JUDITH
SHAKTI,Divine Woman
ZSA ZSA,From the name SUSAN (Hg)
BRIANNE,(F) See BRIAN
GABE,From the name GABRIEL
REESE,Enthusiastic
MAILLE,Form of MOLLY (Ir)
QUON,Bright
MANDELL,Almond (Gr)
COYE,From the name COY
LONNA,A Distant Place
MAKAILA,Who is Like God
VIC,Victorious
TAMIKA,People (Af-Am)
GABI,From the name GABRIELA
THINA,Christian
MORT,From the name MORTON
SPENCE,From the name SPENCER
BEAU,From the name BEAUREGARD
DEBBIE,From the name DEBORAH
PAULO,Place of Rest (Af)
ADEM,Red Earth (Af)
LAIRD,Head of Household (Scot.)
DARD,Son of ZEUS
CARMELITA,From the name CARMEL
FRANZ,From the name FRANCIS
ROYCE,King's Son
AMBROSE,Immortal (Gk)
FLYNN,Heir to the Redheaded (Ir)
MONTE,From the name MONTGOMERY
RACH,Frog (Af)
SELMA,Fair
HOPE,Trust, Faith
REMI,From Reims (Fr)
BEATRICE,Bringer of Joy
BRYONY,Vine with Small Blossoms
MARVIN,Friend of the Sea
SHANDI,God is Gracious
CYRUS,Sun
MERRITT,Small but Famous
TADHG,Poet, Philosopher
BLAIR,Field or Plain
TESHI,Cheerful, Full of Laughter (Af)
MARCELLA,From the name MARCIA
VINCE,From the name VINCENT
GAMALIEL,the Lord's Prize (Hb)
KASI,From the Holy City
MOON,From the Moon
DEO,Godlike
HOLIDAY,Festive Day
LILO,Generous One (HI)
LAZAR,From the name LAZARUS
NAFUNA,Delivered Feet-First (Af)
RICO,From the name RICHARD
LISA,From the name ELIZABETH
NICHELLE,Victorious Maiden
YELENA,Form of HELEN
LORNE,From the name LAWRENCE
MARIGOLD,From the flower
DYLLIS,Sincere
BAHARI,Sea Man (Af)
TRANQUILLA,Calm, Tranquil
LEOPOLD,Daring Ones (Gr)
VIVIAN,Gracious in Life
ELIN,Light
LUDWIG,Famous Victories (Gr)
MACHA,Plain
COLMAN,Little Dove
CLEVELAND,Land of High Cliffs
LUCIE,From the name LUCILLE
OSSIE,Divine
KARNA,Horn of an Animal
RAE,From the name RACHEL
GAYNELL,From the name GAINELL
MAJ,A Pearl
XENOPHON,Strange Voice
JUSTINE,From the name JUSTIN
IRIS,A Play of Colors
OCTAVIO,The Eighth
LYRE,A fork from river or glen
DEMPSTER,Judge
KUMA,Bear (Jp)
DENNA,Glen, Valley
CALEY,Brave Warrior
DERICA,Beloved Leader
TOBY,The Lord Is Good
JOE,From the name JOSEPH
XENOS,Guest (Gk)
TIP,Nickname for THOMAS
JAKE,From the name JACOB
RAQUEL,From the name RACHEL
CLEAVE,From the name CLEAVON
HONORIA,Honor
JAPHETH,He Expands (Hb)
MURRAY,Sailor (Nd)
JANE,Gracious, merciful
FORRESTER,Of the Forest
MOSES,Drawn Out of the Water
MANUEL,God In Us (Hb)
CLARA,Clear, Bright
TANISHA,Monday's Child (Af)
GAVAN,White Hawk
TARU,Myth/Legend
ZARED,Trap (Hb)
STEPHAN,From the name STEVEN
GILLESPIE,Servant of the Bishop
MURRON,Bitter (Ir)
ILARIO,Cheerful (It)
CLETA,Dim. of CLEOPATRA
WHITBY,Farm with White Walls
PERDITA,She Who Is Lost
LANGSTON,A Long, Narrow Town
MAGDA,High Tower
CARLOTTA,Feminine form of CHARLES
DANA,Mother of Gods
ABSOLOM,My Father is Peace
MIETTE,Small Sweet Thing
RAUL,Strong (Wolf) Counselor
NISSA,Sign, Emblem
MOREY,From the name MORRIS
RENNY,Compact Strength (Ir)
BARBARA,Strange, Foreign
BAKULA,Flower
ROZ,From the name ROSALIND
PEMBROKE,A Broken Hill
LYNTON,Town near the Brook
THANH,Finish, Complete (Vt)
NIJOLE,Slavic form of NICOLE
ADONAI,My Lord (Hb)
ANGELO,Angelic (It)
DEMI,Half, Small
SOLEIL,Sun (Fr)
JODI,From JOHANNA
OMEGA,Great
CARLA,Fem. form of CARL
NELIA,Form of NEAL
ANLON,Great Champion
RED,Redheaded One, or Dim. of REDMOND
CHANCELLOR,Keeper of Records, Secretary
KARI,Pure of Heart
LATHAM,A Division
URSA,Form of URSULA
MAX,From the name MAXIMILIAN
ANTHONY,Worthy of Praise
RONDA,Grand
BROOKE,Brook, Stream
NIABI,Fawn
BOYD,Yellow Haired
DALIT,Draw Water (Hb)
JERED,From JARED
GREG,From the name GREGORY
GENET,Eden (Af)
LYRIS,A Harp or Lyre
GIVA,Hill, High Place
PRESTON,Priest's Town
NYSA,The Goal
TASHA,From the name NATALIE
GALENO,Illuminated Child (Sp)
OBEDIENCE,To Obey
LAQUETA,The Quiet One
BONITA,Pretty, Beautiful
MELISANDE,Strength (Gr)
CHESTER,A Fortress, Camp
ZOLTIN,Life (Hg)
QUIMBY,At the Mother's House
FAVIAN,Brave Man
URANIA,Heavenly
BYRON,Bear or Cottage
MUSOKE,Rainbow (Af)
REDELL,Red Meadow
BLENDA,From the name BELINDA
SHIELA,Blind
NOLA,Of High Birth
KEIRA,Black Haired
FERGUSON,Son of FERGUS
WASAKI,The Enemy (Af)
CONTENT,Satisfied
ORSIN,From the name ORSON
TRACEY,Brave
MAIRE,Irish form of Mary
RENATE,Reborn
MORDECAI,Warrior, Warlike
JANICE,From the name JANE
PLENNIE,Full, Complete
LEONA,Like A Lion
MORAL,Lovely Thoughts
LIRIT,Musical Grace (Hb)
LEXI,From the name ALEXANDER
ALEJANDRO,Protector
KAREN,From Catharine
GLEN,A Secluded, Woody Valley
KITOKO,Beautiful (Af)
NEETEE,Moral
DONALD,Brown Stranger
ADINA,Noble, Adorned
MARCEL,From the name MARC
SHANNON,Ancient God (Ir)
PYRALIS,Of Fire
ROSE,Of the Rose Blossom
MARVELA,Marvelous
DORIAN,From the name DORE
MARIBEL,From MARY and BELLE
JOIE,Joy
IDALEE,From IDA and LEE
BRAND,From the name BRIAN
SHAMAN,Holy Man
MOSS,From the name MOSES
SVETA,Bright Light
VERONICA,The Truth
DORIT,From the name DORIS
ZION,A Sign
FERDINAND,To be Courageous
DARREN,Great
ARISSA,Sowing the Fields
LEANDER,Brave Man / Lion Man
LYNLEY,Meadow near the Brook
ANDREA,From the name ANDREW
CARLOTA,From the name CHARLOTTE or CAROLINE (Sp)
ALANA,Fair, Beautiful
THEL,Upper Story
PHOEBE,Bright, Shining One
KATHY,Dim. of KATHERINE
MAIMUN,Lucky
CLEAVON,From the name CLEAVANT
BLODWYN,Flower
EVIE,Life
THOR,Thunder
BRONSON,Strong, Fierce One
TALISHA,Damsel Arise
INFINITY,Endless
FELL,A Field
FERGUS,Manly
MIZELL,Tiny Gnat
MARINA,From the Sea
VICKI,From the name VICTORIA
TIVONA,Lover of Nature
PEGGY,From the name MARGARET
SASKIA,FROM ALEXANDRA (Hl)
MISHA,From the name MICHAEL
TYRA,God of Battle (Sc)
APHRODITE,Goddess of Love
NAVEEN,Beautiful, Pleasant
CARMEN,Song
FARRELL,Of Proven Courage (Ir)
LENTE,Spring
WASHINGTON,Town of the Smart
LEIF,Beloved
CARESSE,Beloved
MIRACLE,Miracle
YIHANA,Congratulations (Af)
SUE,From the name SUSAN
LARAINE,Form of LORRAINE
JANAE,Form of JANET
OKAL,To Cross (Af)
STACIA,Resurrection
IGGY,From the name IGGI
PAIGE,From the name PAGE
LAMONT,The Mountain
JOVITA,Happy
RAYMOND,Wise Protection
KEENE,Wise, Learned
MILTON,From the Mill Town
KNUT,Knot (Po)
AUDREY,Noble Strength
MARIN,Of the Sea
VIDOR,Happy (Hg)
JADEN,God Has Heard
AARON,To sing
RILEY,A Small Stream
RONIA,My Joy is the Lord
GAVIVI,Money is Sweet (Af)
STU,From the name STUART
ANTHEA,Flowerlike (Gk)
GAVIN,Little Hawk
JIRO,The Second Male (Jp)
GERIK,Swords and Riches (Po)
THOM,Twin
FILIA,Friendship (Gk)
ALLYSON,From the name ALICE
PASCHA,To Pass Over
AMALIA,Hardworking
SINEAD,Irish form of JANE
SOPHIA,From the name SOPHIE
ROD,From the name RODNEY
HESPER,Evening Star (Gk)
CARINA,Dear Little One
TAIFA,Nation, Tribe (Af)
KATINA,Pure, Unsullied
PERCIVAL,Piercing the Valley
DODA,Aunt
JUD,Praised
BAIRN,Scottish name for a child
LANDRY,Rough Land
CHARLOTTE,Little and Womanly
LEIMOMI,Wreath of Pearls
JOSEPHINE,Fem. form of JOSEPH
RAFFAELLO,From the name RAPHAEL (It)
ALISON,Of Noble Birth
SONORA,Pleasant Sounding
HARVEY,Army Warrior
ELDORA,Golden (Sp)
KARINA,Dear Little One
OVID,Egg Shaped
TIMOTHY,To Honor God
SANTO,A Saint
ANNISSA,From the name ANN
MARIO,Sailor
IRA,Watchful, Descendant
CARSON,Son of Carr
FAY,Fairy or Elf
FLAVIAN,Yellow, Blonde
AFFRICA,From the name AFRICA
SELENE,From SELENA
FRANCESCA,From the name FRANCES
FIONN,From FIONA (Ir)
GENEVA,Juniper Berry
YAMIN,Right Hand (Hb)
NAYER,Sunshine
XANDY,From the name ALEXANDER
TALIA,Morning Dew (It)
JOSEPH,God will Increase
JOCK,Short form of JACOB or JOHN
DUNIXI,God of Wine
AMADOR,Lover
LIVIA,From the name OLIVIA
ALAURA,From LAURA
MIKAILI,God Like (Af)
GINO,Short for names ending with GINO
CERISE,Cherry (Fr)
YUKIO,Gets What He Wants (Jp)
ALVA,Fair Complected
IMOGENE,Image, Likeness
AIDAN,Little Fire
MORIAH,God is my Teacher
BLAZE,A Flame
UTE,From the Mountains
PAPINA,Ivy (Nat.Am)
LIZBETH,From the name ELIZABETH
ANGUS,Unique Strength
GLORA,From the name GLORIA
JALENE,From JAMES and LENORE
TIM,From the name TIMOTHY
GAYE,Merry, Happy
WORDEN,Warden, Guardian
ADRIAN,(M)Dark, Rich
GREGG,From the name GREGORY
IRINA,Form of IRENE (Rs)
CASSIA,Spicy Cinnamon
KRISTIN,From the name KRISTEN
PETUNIA,Of the Petunia Flower
LOVIE,Loved One
FYNN,Form of FINN
COOPER,Barrel Maker
BRODY,Root BRODERICK
MIKKEL,Who is like God?
LAEL,of God (Hb)
EUPEMIA,Spoken Well Of
CORINNE,Maiden
JANELLE,God is Gracious, Little Jane
KIRI,From the name KIRA
JERUSHA,Inheritance
BARAKE,God's Blessing (Af)
CHUN,Nature's Renewal (Ch)
JUBAL,Ram (Hb)
DAGAN,The Earth
ZEKI,Smart (Tk)
JOSH,From the name JOSHUA
KARMA,Fate
ASIS,Sun (Af)
MOYA,Great
ULEMA,Intelligent One
CREVAN,Fox
ERRIN,From the name ERIN
AUGUSTIN,Revered, Exalted
KENYON,Blond, White-haired
SHEBA,Kingdom in Arabia
FLORIA,Flowering
ODETTE,Ode, Melodic
BURT,From the name BURTON
SHIRA,A Song
MINERVA,Goddess of Wisdom (Lt)
ARCHIBALD,Very Bold
FANCHON,Betrothed, Whimsical
DOUGLASS,From the name DOUGLAS
PAULA,From the name PAUL
MAYA,Messenger of the Gods
MARLOW,Slope by the Pond
RANDILYN,Protected Waterfall
CHRISTINE,From the name CHRISTOPHER
JEREMIAH,From the name JEREMY
FINOLA,From the name FENELLA (Ir)
ROSHAUN,Shining Light
COLLICE,Form of COLLEEN
DANYL,From the name Daniel
MAKANI,The Wind (HI)
ORAN,Green
NAPOLEON,Fierce One from Naples (Fr/It)
TULLY,Little Hill
MARNIE,From the name MARINA
KATA,Worthy (Jp)
BO,Most Treasured
FISK,A Fish
DANIELA,God is My Judge
KELLEY,Warrior or Warriorwoman
BRADEN,Broad
TELI,A Lamb
KAMILIA,Ceremonial Attendant (Po)
RIVA,Riverbank
LIBBA,From the name ELIZABETH
MELVINA,Armored Chief
JACKIE,From JACQUELINE or JACLYN
NATASHA,From the name NATALIE
CAINE,From the name CAIN
OSKAR,From the name OSCAR
LUCIA,Light (It)
CONNOR,Knowledgeable
ELAN,Form of HELEN
JILL,Girl/Sweetheart
ROB,From the name ROBERT
QUIANA,Soft, Synthetic Material
BABETTE,From the name ELIZABETH
BELLINI,From the name BELLE
GITANO,Gypsy
DIANA,Divine
LELAND,Meadowland
ORLI,The Light is Mine
SORA,Chirping Songbird
JENNA,Small Bird
FORDON,To Destroy
BRIDGIT,From the name BRIDGET
BRANT,From the name BRAND
ETHELDA,Noble in Counsel
SHAUNA,Fem. form of SHAUN
LORNA,Alone, Solitude
BEA,From the name BEATRICE
LAVONNE,Wood
TARIKA,Star (Hn)
JACOB,Held By the Heel
ROTHROCK,Weak One
LILAH,From the name LILAC
JULIAN,Youthful
EMILIA,From the name EMILIE
ADRIANA,From the name ADRIENNE
MEGED,Goodness
MINDA,Knowledge
MAYLIN,Great Waterfall
AUSTIN,From the name AUGUSTIN
SHEILA,From the name CECILIA (Ir)
LANKSTON,From LANGSTON
SERENDIPITY,Good Fortune
CANDICE,From the name CANDACE
DOYT,From the name DWIGHT
KARLA,Strong and Womanly
CAIRBRE,Strong Man
BRITANNIA,From the name BRITTANIA
ELITA,The Chosen One
LINCOLN,Lithe
EADOIN,Blessed with Many Friends (Ir)
CHRISTA,From the name CHRISTOPHER
BERKE,From the name BURKE
GIACOMO,The Supplanter (It)
REA,Brook
JEAN,From the name JANE
FIDELIA,Faithful (Sp)
NOVA,New
INA,Mother
WADE,To Wade in Water
JASPER,Semi-precious stone
AMANDA,Worthy of Love
ADAMINA,Fem. form of ADAM
VIRGINIA,Virginal, Pure
TEMIRA,Tall
MISU,Ripples in the Water (Nat.Am)
SYNCLAIR,A Clear Sign
GARDNER,A Gardener
ADONIA,From ADONIS
YANCY,Englishman
CAIRO,City of Pharohs
FREEMAN,Free Man
CALLIA,Beautiful (Fr)
MARCUS,From the name MARC
KENNEDY,Royal
FORD,Road
HEDWIG,Battling
KATO,Pure, Unsullied
LAVERNE,Like the Spring
ANANDO,Bliss (Af)
DINO,Little Sword
SALVATORE,Savior (It)
HILA,Praise
TAILYNN,From TAI and LYNN
LANAYA,Lime Tree
AVERY,From the name ALFRED (Br)
FILIPINA,Lover of Horses (Po)
CAILEAN,The Child
BREWSTER,One Who Brews Beer
TOD,From the name TODD
